name	base_url	customer_id	requestor_id	api_key	platform	is_non_sushi	description	companies
DeGruyter (Walter De Gruyter)	https:/ams.degruyter.com/rest/COUNTER/v5/reports	REQUIRED			REQUIRED	True	Manual COUNTER 5 import; service@degruyter.com	
Edward Elgar Publishing	https:/ams.elgaronline.com/rest/COUNTER/v5/reports	REQUIRED			REQUIRED	True	Manual COUNTER 5 import;  info@e-elgar.co.uk	
Academy of Management	https://journals.aom.org/reports	REQUIRED				False		
American Chemical Society	https://pubs.acs.org/reports	REQUIRED				False		
Adam Matthew Digital	https://www.counter.amdigital.co.uk/CounterSushi5Api/reports	REQUIRED		REQUIRED		False	Adam Matthews primary historical document collections	
Akademiai Kiado	https://ams.akjournals.com/rest/COUNTER/v5/reports	REQUIRED		REQUIRED		False	Changed SUSHI R5 providers April 2020	Sheridan PubFactory
Alexander Street Press	https://pqbi.prod.proquest.com/release/sushi/asp/sushi/reports	REQUIRED	REQUIRED			False		
Allen Press HEPG Journals	https://hepgjournals.org/reports	REQUIRED	REQUIRED			False		Atypon
Allen Press Pinnacle	https://pinnacle.allenpress.com/reports	REQUIRED				False		Atypon
Allen Press Pinnacle (AAIDD)	https://www.aaiddjournals.org/reports	REQUIRED				False		Atypon
American College of Physicians (ACP)	https://sitemaster.annals.org/sushi/reports	REQUIRED				False		
American Economic Association (AEA)	https://pubs.aeaweb.org/reports	REQUIRED				False		
American Heart Association	https://www.ahajournals.org/reports	REQUIRED				False		
American Institute of Aeronautics & Astronautics	https://arc.aiaa.org/reports	REQUIRED				False		
American Mathematical Society	https://counter.ams.org/counter/r5/reports	REQUIRED		REQUIRED		False		
American Medical Association	https://sitemaster.jamanetwork.com/sushi/reports	REQUIRED				False		
American Meteorological Society	https://journals.ametsoc.org/reports	REQUIRED				False		
American Physical Society	https://inqwell.squidsolutions.com/release/aps/sushi/reports	REQUIRED				False		
American Physiological Society	https://www.physiology.org/reports	REQUIRED	REQUIRED			False		Atypon
American Psychiatric Publishing	https://www.psychiatryonline.org/reports	REQUIRED				False		
American Public Health Association	https://ajph.aphapublications.org/reports	REQUIRED				False		
American Roentgen Ray Society	https://www.ajronline.org/reports	REQUIRED	REQUIRED			False		Atypon
American Society for Cell Biology	https://www.molbiolcell.org/reports	REQUIRED				False		
American Society Of Civil Engineers (ASCE)	https://ascelibrary.org/reports	REQUIRED				False		
American Society of Clinical Oncology (ASCO)	https://ascopubs.org/reports	REQUIRED				False		
American Society of Mechanical Engineers (ASME)	https://sitemaster.asmedigitalcollection.asme.org/sushi/reports	REQUIRED	REQUIRED	REQUIRED		False		Silverchair
American Speech-Language-Hearing Association	https://pubs.asha.org/reports	REQUIRED				False		
American Thoracic Society	https://www.atsjournals.org/reports	REQUIRED				False		
American Veterinary Medical Association	https://avmajournals.avma.org/reports	REQUIRED	REQUIRED			False		Atypon
Annual Reviews	https://www.annualreviews.org/reports	REQUIRED	REQUIRED			False		
AOTA (American Occupational Therapy Association)	https://sitemaster.ajot.aota.org/sushi/reports	REQUIRED				False		
APS (American Physical Society)	https://inqwell.squidsolutions.com/release/aps/sushi/reports	REQUIRED	REQUIRED			False		
Berghahn Journals	https://ams.berghahnjournals.com/rest/COUNTER/v5/reports	REQUIRED				False		
BioOne	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
BIR (The British Institute of Radiology)	https://www.birpublications.org/reports	REQUIRED				False		
Brepols Online	https://www.brepolsonline.net/reports	REQUIRED				False		
Brill	https://ams.brill.com/rest/COUNTER/v5/reports	REQUIRED		REQUIRED		False		
British Medical Journals (BMJ)	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
Cambridge Core	https://event-aggregation-api-prod-platform.prod.aop.cambridge.org/reports	REQUIRED	REQUIRED			False		
Cambridge University Press	http:/counter5.cambridge.org/reports	REQUIRED				False		
Chemical Society of Japan	https://www.journal.csj.jp/reports	REQUIRED				False		
CREDO	https://search.credoreference.com/reports	REQUIRED	REQUIRED			False		
CSIRO (Commonwealth Scientific and Industrial Research Organisation)	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
DesLibris	https://connect.liblynx.com/sushi/r5/reports	REQUIRED	REQUIRED	REQUIRED		False		LibLynx
Duke University Press (Euclid)	https://sitemaster.read.dukeupress.edu/sushi/reports	REQUIRED	REQUIRED	REQUIRED		False		
Duncker & Humblot	https://elibrary.duncker-humblot.com/sushi/reports	REQUIRED	REQUIRED	REQUIRED		False		
EBSCOhost	https://sushi.ebscohost.com/R5/reports	REQUIRED	REQUIRED			False	Converted to COUNTER 5 back to Jan 2018	
Edinburgh University Press	https://www.euppublishing.com/reports	REQUIRED				False		
Elsevier Engineering Village	https://api.elsevier.com/sushi/reports	REQUIRED	REQUIRED		ev	False	Checks IP range must be on campus; also have to re-run every new report - always error on first try	
Elsevier Scopus	https://api.elsevier.com/sushi/reports	REQUIRED	REQUIRED		sc	False	Checks IP range must be on campus; also have to re-run every new report - always error on first try	
Elsevier ScienceDirect	https://api.elsevier.com/sushi/reports	REQUIRED	REQUIRED		sd	False	Checks IP range must be on campus; also have to re-run every new report - always error on first try	
Emerald Insight	https://connect.liblynx.com/sushi/r5/reports	REQUIRED	REQUIRED	REQUIRED		False		Liblynx
FASEB	https://www.fasebj.org/reports	REQUIRED				False		
Future Medicine	https://www.futuremedicine.com/reports	REQUIRED				False		
Gale	https://sushi5.galegroup.com/sushi/reports	REQUIRED	REQUIRED			False		
GeoscienceWorld	https://sitemaster.geoscienceworld.org/sushi/reports	REQUIRED	REQUIRED	REQUIRED		False		Silverchair
Guilford Press	https://guilfordjournals.com/reports	REQUIRED				False		
