name	base_url	customer_id	requestor_id	api_key	platform	is_non_sushi	description	companies
AACCI (American Association of Cereal Chemists International)						True	BR2, JR5, JR1GOA, JR1, PR1, BR3	
AAIDD (American Association of Intellectual and Developmental Disabilities)						True	JR5, JR1GOA, JR1, PR1, BR3	
ABC-CLIO						True	Counter 4 only for import conversion; DB1	
Academy of Management	https://journals.aom.org/reports	REQUIRED				False		
Accessible Archives						True		
ACM Digital Library (Association for Computing Machinery)						True		
American Chemical Society	https://pubs.acs.org/reports	REQUIRED				False		
ACSESS Digital Library (American Society of Agronomy, Crop Science Society of America, and Soil Science Society of America (ASA, CSSA & SSSA))						True		
Adam Matthew Digital	https://www.counter.amdigital.co.uk/CounterSushi5Api/reports	REQUIRED		REQUIRED		False	Adam Matthews primary historical document collections	
AIAA (American Institute of Aeronautics and Astronautics)						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, JR1a, PR1, BR3	
Akademiai Kiado	https://ams.akjournals.com/rest/COUNTER/v5/reports	REQUIRED		REQUIRED		False	Changed SUSHI R5 providers April 2020	Sheridan PubFactory
Alexander Street Press	https://pqbi.prod.proquest.com/release/sushi/asp/sushi/reports	REQUIRED	REQUIRED			False		
Allen Press HEPG Journals	https://hepgjournals.org/reports	REQUIRED	REQUIRED			False		Atypon
Allen Press Pinnacle	https://pinnacle.allenpress.com/reports	REQUIRED				False		Atypon
Allen Press Pinnacle (AAIDD)	https://www.aaiddjournals.org/reports	REQUIRED				False		Atypon
American College of Physicians (ACP)	https://sitemaster.annals.org/sushi/reports	REQUIRED				False		
American Economic Association (AEA)	https://pubs.aeaweb.org/reports	REQUIRED				False		
American Heart Association	https://www.ahajournals.org/reports	REQUIRED				False		
American Institute of Aeronautics & Astronautics	https://arc.aiaa.org/reports	REQUIRED				False		
American Mathematical Society	https://counter.ams.org/counter/r5/reports	REQUIRED		REQUIRED		False		
American Medical Association	https://sitemaster.jamanetwork.com/sushi/reports	REQUIRED				False		
American Mental Health Counselors Association						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, BR3	
American Meteorological Society	https://journals.ametsoc.org/reports	REQUIRED				False		
American Physical Society	https://inqwell.squidsolutions.com/release/aps/sushi/reports	REQUIRED				False		
American Physiological Society	https://www.physiology.org/reports	REQUIRED	REQUIRED			False		Atypon
American Podiatric Medical Association						True	Counter 4 only for import conversion; JR1, JR2, JR1GOA, JR5, BR3, PR1	
American Psychiatric Publishing	https://www.psychiatryonline.org/reports	REQUIRED				False		
American Public Health Association	https://ajph.aphapublications.org/reports	REQUIRED				False		
American Roentgen Ray Society	https://www.ajronline.org/reports	REQUIRED	REQUIRED			False		Atypon
American Society for Cell Biology	https://www.molbiolcell.org/reports	REQUIRED				False		
American Society Of Civil Engineers (ASCE)	https://ascelibrary.org/reports	REQUIRED				False		
American Society of Clinical Oncology (ASCO)	https://ascopubs.org/reports	REQUIRED				False		
American Society of Mechanical Engineers (ASME)	https://sitemaster.asmedigitalcollection.asme.org/sushi/reports	REQUIRED	REQUIRED	REQUIRED		False		Silverchair
American Society of Tropical Medicine and Hygiene						True		
American Speech-Language-Hearing Association	https://pubs.asha.org/reports	REQUIRED				False		
American Thoracic Society	https://www.atsjournals.org/reports	REQUIRED				False		
American Veterinary Medical Association	https://avmajournals.avma.org/reports	REQUIRED	REQUIRED			False		Atypon
AMSUS (The Society of Federal Health Professionals)						True	Counter 4 only for import conversion; JR5, JR1, PR1	
Annual Reviews	https://www.annualreviews.org/reports	REQUIRED	REQUIRED			False		
AOTA (American Occupational Therapy Association)	https://sitemaster.ajot.aota.org/sushi/reports	REQUIRED				False		
APA PsycNET						True		
APS (American Physical Society)	https://inqwell.squidsolutions.com/release/aps/sushi/reports	REQUIRED	REQUIRED			False		
APS (American Phytopathological Society)						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, BR3	
ASA (American Statistical Association)						True	Counter 4 only for import conversion; JR1, DB1	
ASM (American Society for Microbiology)						True	Counter 4 only for import conversion; BR2, JR1GOA, JR1, PR1, BR3	
Berghahn Journals	https://ams.berghahnjournals.com/rest/COUNTER/v5/reports	REQUIRED				False		
BioMed Central						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1	
BioOne	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
BIR (The British Institute of Radiology)	https://www.birpublications.org/reports	REQUIRED				False		
Bone & Joint Publishing						True		
Brepols Online	https://www.brepolsonline.net/reports	REQUIRED				False		
Brill	https://ams.brill.com/rest/COUNTER/v5/reports	REQUIRED		REQUIRED		False		
Britannica						True		
British Institute of Radiology						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1, BR3	
British Medical Journals (BMJ)	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
Cambridge Core	https://event-aggregation-api-prod-platform.prod.aop.cambridge.org/reports	REQUIRED	REQUIRED			False		
Cambridge University Press	http:/counter5.cambridge.org/reports	REQUIRED				False		
Canadian Science Publishing						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1, BR3	
